player,position,actual_points,espn_proj_pts,fantasyData_proj_pts,fantasySharks_proj_pts,ffToday_proj_pts,cbs_proj_pts,fantasyPros_proj_pts,ffAnalytics_robust_proj_pts,ffAnalytics_weighted_proj_pts,nfl_proj_pts,yahoo_proj_pts,beerSheets_proj_pts,scout_proj_pts
Sterling Shepard,WR,119.4,113.6,111.7,109.63,100.1,90,105.72,109.675,110.886248,115,128.4,-0.72060623,128
Travis Benjamin,WR,85.4,105.8,102.3,109.29,81.5,78,97.42,100.94,102.1618897,124.6,113.1,-1.241320846,126.8
Danny Woodhead,RB,21.1,142.3,129.5,118.27,126.3,123,130.25,134.4675,136.5345702,153.7,131.9,-0.061895801,126.5
Chris Ivory,RB,74.5,120.1,120.4,95.22,94.1,125,110.7,117.24,116.7009386,132.6,118.1,-0.643419134,125.4
Texans,DST,102,113.4,115,147,106,185,112.8,115.3,115.2009062,105,107.6,,124
Coby Fleener,TE,87.3,120.8,115.1,105.3,111.5,108,112.14,118.11,118.5980534,130.5,129.2,1.489764241,123.9
Charles Sims,RB,43.9,115.2,113.5,109.51,120.6,120,106.2,118.2725,118.9370238,136.4,114.1,-0.711586332,122.8
Isaiah Crowell,RB,165.1,121.8,122.1,103.06,120.7,115,117.64,119.1125,119.7027106,126.5,114.35,-0.215376067,122.5
Steve Smith Sr.,WR,113.9,104.8,90.7,95.48,93.9,94,100.22,97.1875,97.010335,76.7,115.9,-2.154955066,121
Rams,DST,72,112,103,149,118,178,110.6,117.475,118.6838542,108,131.3,,121
DeVante Parker,WR,98.4,106,112.6,122.43,99.6,93,115.46,113.99,113.3454907,112.9,115.4,-0.490824347,120.7
Stefon Diggs,WR,109.3,109.5,116.1,116.82,109.6,96,117.75,113.4325,112.8860823,139.2,102.07,-0.850434498,119.5
Tevin Coleman,RB,160.1,94.2,92.9,103.2,83,62,76.11,81.6025,83.38715171,55.8,81.2,-2.219979182,119
Markus Wheaton,WR,13.1,91.9,101,119.75,98.9,63,96.63,97.0475,96.92291463,75.2,102.79,-1.400890128,119
Corey Coleman,WR,60.3,103.2,104.8,101.91,102.5,85,100.39,101.51,102.085727,101.6,110.82,-1.191330703,119
Julius Thomas,TE,52.1,106.3,89,126.89,97.7,78,92.31,100.7025,102.2740021,109,103.6,0.387442297,118
Mohamed Sanu,WR,89.8,107.9,92.8,91.26,89.3,76,93.14,97.75,98.7506525,115.8,101.43,-1.81834588,117
Devin Funchess,WR,63.1,96.8,87.5,102.42,58.2,90,82.27,93,90.80485545,97.9,94.8,-1.654104672,117
Michael Thomas,WR,163.7,114,101.8,85.81,63.7,81,90.33,92.065,91.47532619,78,108.3,-2.534423925,116
Rishard Matthews,WR,146.5,83.6,88.6,123.53,99.8,55,83.99,95.405,98.10766379,97.6,115.4,-1.548227532,116
Gary Barnidge,TE,75.2,116.4,120.7,128.53,111.8,110,111.71,115.8825,116.4494258,108,110,1.464471224,116
Kamar Aiken,WR,38.8,83,98.4,105.87,75.6,95,88.64,95.8575,97.71246807,134.4,89.3,-1.715021136,115.2
Jets,DST,43,116.3,100,147,104,178,112.2,105.9,106.84744,94,122.1,,115
James White,RB,101.7,54.3,64.9,104.15,72.2,61,70.7,77.335,80.15117579,93.8,88.3,-3.119856898,114.7
Terrance West,RB,137,62.5,73.1,144.76,76.4,56,49.49,86.91,95.27800168,78.948,70.44,-2.277919293,113.6
Tyler Eifert,TE,69.4,86.4,78.7,101.16,95.5,73,88.76,91.55,91.49204195,120.8,81.7,0.335260262,113
Bengals,DST,79,123.1,112,148,110,168,114.6,111.4,111.9628455,101,114.4,,112
Zach Ertz,TE,105.6,104.2,96.6,102.82,101.1,93,100.08,103.555,104.8393124,98.6,109.2,0.852611881,111
Bills,DST,81,114.3,94,149,107,171,111.4,102.1,99.33688265,102,95.1,,110
Vincent Jackson,WR,17.3,111.6,112.1,131.71,95.5,78,109.34,109.695,112.3553226,108.9,122.9,-0.740564548,110
Packers,DST,75,121,109,153,108,185,115.8,114.7,116.4178523,109,121.1,,109
Phillip Dorsett,WR,65.8,97.2,97.7,76.47,87.5,92,85.14,86.935,88.4441784,69.6,105.45,-1.859447808,109
Devontae Booker,RB,111.7,97,84.3,98.61,84.1,104,83.32,87.805,87.84661202,69.2,73.3,-2.690017094,108.5
Christine Michael,RB,115,82.3,62.7,79.5,65,80,56.97,65.49,67.22164017,37.2,53.81,-3.08430062,107.5
Terrance Williams,WR,81.4,96.9,94.1,95.5,85.3,76,91.78,92.17,91.29495045,100.2,90.7,-2.03601564,105.7
Tyler Boyd,WR,70.1,88.5,77.6,110.02,64.5,89,80.59,84.795,86.23904205,59.8,91.87,-2.471732641,104.7
Mike Wallace,WR,130.8,100.2,100.3,88.97,91.5,82,84.39,93.17,96.74131602,129.7,73.8,-2.316880933,104.5
Raiders,DST,74,113.6,92,151,117,148,103,112.6,113.5121432,103,117,,104
DeAndre Washington,RB,68.2,65.3,72.4,75.59,66.8,72,69.13,65.015,64.87445086,42,51.8,-3.534841956,103.7
Will Fuller V,WR,81.2,109.1,86.8,91.14,76.5,76,77.05,91.29,93.44528971,107,104.59,-2.240913385,103.7
Javorius Allen,RB,4.9,37.4,68.1,80.95,71.4,44,74.06,75.03,73.43987761,67.8,64.3,-3.08037451,101.9
Theo Riddick,RB,108.8,113.3,96.2,97.2,96.4,71,94.79,102.7125,102.471485,126.8,105.7,-1.94318377,100.9
Pierre Garcon,WR,122.1,100.1,89,102.97,74.6,65,89.78,92.2575,92.29593702,115.1,92.9,-2.394854664,100.8
Ravens,DST,116,100.3,90,152,89,143,103.4,94.2,94.8607159,101,88.4,,99
Dwayne Allen,TE,78.6,86.9,89.8,100.44,101.7,83,90.74,95.55,95.90040107,103.2,99.1,0.235748287,97.5
Lions,DST,69,97.2,86,147,101,148,107,105.8,107.1079293,102,118.1,,97
Buccaneers,DST,108,103,95,153,104,149,104,109.15,107.9389216,105,115.7,,95
Antonio Gates,TE,94.8,106.3,109.6,107.5,114.7,101,108.11,108.65,108.2187773,101.9,103.2,0.932470127,95
Bilal Powell,RB,139,109.4,91.7,114.09,97.2,96,92.68,99.1375,99.10851284,107.6,95.5,-1.616586023,93.4
Spencer Ware,RB,160.8,78.4,80,90.56,95.3,100,61.19,74.815,79.75409655,47.4,64.14,-2.619806194,91.5
Eric Ebron,TE,83.2,91.1,83.8,92.88,90.9,77,84.17,90.245,89.47188066,70.2,89.8,0.017498355,91.5
Martellus Bennett,TE,113.1,88.5,100.5,103.5,99.6,94,93.93,102.4725,104.0717108,102.9,98.4,0.053606122,91.2
Jordan Howard,RB,201.1,70.9,68.6,52.66,70.1,31,70.74,63.8175,65.26152563,62.4,90.52,-3.821159914,90.5
James Starks,RB,39.9,81.9,89.5,104.06,66.2,88,87.72,89.8975,89.34460684,102.4,80.9,-2.735824517,87
Jimmy Graham,TE,124.3,92.6,87.4,70.88,75.2,78,96.64,89.33,88.51619014,85.3,99.8,-0.720970436,87
Jason Witten,TE,83.3,107.3,89.7,95.4,92.1,85,96.58,96.55,95.9719065,101.6,99.4,0.178486456,86.9
Jerick McKinnon,RB,105.4,82.6,73.5,89.98,60.2,45,74.55,76.69,77.1053349,70.6,89.4,-3.343800279,85.6
Shane Vereen,RB,27.2,99.7,99.3,91.09,82.8,83,94.81,93.9825,93.24723982,86.9,96.2,-2.279145265,85.5
Alfred Morris,RB,37.4,58.5,69.1,74.48,61,61,52.89,55.62,57.14877999,39.7,48.86,-4.225302155,84.9
Kenneth Dixon,RB,72.4,102.1,65.1,61.53,72.2,66,51.45,68.8725,71.53697554,73.1,26.21,-3.504347889,84.7
Charles Clay,TE,79.2,87.9,88.6,96.38,90.6,77,85.19,89.02,90.42914801,96.2,88.3,-0.641944443,84
Austin Seferian-Jenkins,TE,21.4,64.9,75.7,67.29,41.2,62,67.87,65.515,63.99293532,55.8,66.6,-1.683436571,81.1
Jordan Cameron,TE,12,78.2,58.1,75.79,67.5,48,73.67,70.69,70.69491834,64.8,91,-1.331264354,80.4
Vance McDonald,TE,63.1,66.9,62.6,79.68,70.5,56,57.38,62.72,65.08350766,56.8,66.4,-1.191061363,80
Clive Walford,TE,53.9,90.7,83.7,82,70.6,73,72.01,77.905,77.16765503,50.9,79.6,-1.041147692,79.5
Darren Sproles,RB,110.5,96.4,87,103.7,92.6,64,94.72,92.28,91.37625764,94.8,93.2,-2.332336845,78.7
Kyle Rudolph,TE,126,76.8,62.2,75.02,76.2,56,73.85,75.8725,74.81098161,86.1,71.2,-0.957983759,77
