player,position,espn_proj_pts,fantasyData_proj_pts,fantasySharks_proj_pts,ffToday_proj_pts,cbs_proj_pts,fantasyPros_proj_pts,ffAnalytics_robust_proj_pts,ffAnalytics_weighted_proj_pts,nfl_proj_pts,yahoo_proj_pts
Adam Thielen,WR,117.8,113.2,75.44,114.7,80,109.04,107.035,107.7025362,111.208,135.8
DeVante Parker,WR,128.6,112,111.51,114.4,85,114.06,114.715,119.3013805,109.979,155.7
Mitchell Trubisky,QB,54.2,48.44,3.796,24.4,41,47.8,26.6915,28.87874899,6.1462,43.53
Terrelle Pryor Sr.,WR,146.6,133.5,122.13,115.5,124,128.59,128.9675,134.1436326,111.984,173.33
Kareem Hunt,RB,104.5,92.5,109.1,98.1,79,94.52,92.42225,91.70745578,46.283,97.4
Tyler Lockett,WR,97.7,91.9,80,89.6,61,85.8,90.0385,94.21781991,96.245,131.24
Mike Glennon,QB,156.2,135.62,191.756,178.3,184,178.5,174.285,175.1883717,183.9174,194.33
Vance McDonald,TE,38.4,34.9,80.5,36.5,41,44.12,54.84,54.63186124,71.74,76
Jamison Crowder,WR,129.4,120.3,143.79,127.3,94,117.78,122.944,120.2710214,86.476,131.75
Jesse James,TE,67.2,64.9,55.99,49.9,21,61.64,61.292,61.30952082,70.432,88.7
Ezekiel Elliott,RB,279.2,257.7,268.4,255.6,253,271.83,263.6275,257.9899186,216.251,250.8
Leonard Fournette,RB,188,173.1,191.31,170.8,154,176.09,178.0625,175.4098156,140.366,196.9
Terrance West,RB,88.6,106.8,138.09,102,96,105.08,113.717,114.4469678,140.501,121.6
Benjamin Watson,TE,45.2,44.5,72.52,27.5,24,39.55,41.68025,40.33874051,56.591,13.6
Rex Burkhead,RB,76.9,80.8,57.4,106.4,49,80.5,79.5515,80.50871834,97.903,79.7
Jamaal Williams,RB,57.1,65.6,33.3,80.1,71,68.33,66.5045,68.16999057,51.238,95.26
Lance Dunbar,RB,58.4,53.1,23.22,70.3,34,54.75,52.7475,50.6062594,26.713,69.7
Taylor Gabriel,WR,104.4,86.6,120.37,75.5,92,92.96,97.725,101.0143021,78.842,124.98
Robby Anderson,WR,88.4,81.3,106.46,86.6,48,83.02,82.66,81.7358792,61.843,92.06
Donte Moncrief,WR,124.8,115.9,138.65,109.5,92,115.35,118.435,120.3014857,100.467,145.7
Jimmy Graham,TE,111.1,108.6,116.37,127.5,80,119.89,116.105,115.4177432,106.42,142.6
David Johnson,RB,294.6,282.5,292.65,293,246,288.8,282.47325,278.4466917,270.553,260
Marlon Mack,RB,41.7,47.2,8.26,45.1,59,47.2,45.615,48.39984398,46.728,71.1
Jeremy Kerley,WR,71.4,53.6,58.48,47.5,42,54.41,63.239,66.91966483,91.784,84.5
Darren McFadden,RB,56.5,54.7,76.93,64,49,53.3,58.68075,63.8408198,94.613,39.3
Kenneth Dixon,RB,88,87.5,74.75,111.4,57,88.14,89.32,90.36303546,87.2586,109.1
Odell Beckham Jr.,WR,179.2,192.6,195.86,200.2,175,188.73,190.0075,189.8802721,154.669,210.95
Cameron Brate,TE,85.3,85.2,83.78,78.5,46,83.27,84.115,83.50006623,106.796,91.6
Alshon Jeffery,WR,139,130.7,133.77,117.9,101,126.24,132.175,133.3632204,138.688,159.4
Jack Doyle,TE,98.2,97.5,105.12,91.3,55,96.85,93.2125,90.14550085,73.956,101.4
Adrian Peterson,RB,129.1,121.7,145.1,97.8,119,108.85,111.895,118.8223132,98.693,131.1
T.Y. Hilton,WR,175.7,164.9,166.82,162.5,128,161.68,165.2015,165.7333194,164.357,185.9
Brandin Cooks,WR,145.9,151.3,155.79,143,115,139.45,146.43275,149.1433428,139.316,172.75
Gerald Everett,TE,46.1,44.4,13.6,45.3,24,44.43,39.3,38.87991584,20.988,62.3
Todd Gurley,RB,195.6,188.3,179.25,181.2,143,180.1,183.335,181.8410673,176.753,192.6
Tavon Austin,WR,101.3,97.4,102.97,105.3,66,90.35,98.0505,101.2851716,95.379,123.3
Antonio Brown,WR,194.5,209.8,223.87,203.9,221,208.31,207.155,206.0084067,172.433,204.1
James Conner,RB,38.3,44.9,0.41,51.7,38,46.79,42.06325,38.64476456,47.033,39.35
Paul Perkins,RB,147.5,141.8,137.03,167.7,119,142.36,146.9305,149.4345972,157.777,163.8
